graph_type,n,m,max_flow,r,exec_time_ms,s_bar,t_bar,i_bar,d_bar,u_bar
matching,5002,67500,2500,1.0004,2486,0.00364053,0.0216919,0,0,0
matching,5332,71955,2665,1.00038,2407,0.0036846,0.0217584,0,0,0
matching,5662,76410,2830,1.00035,1545,0.00342283,0.0215267,0,0,0
matching,5992,80865,2995,1.00033,1810,0.00316505,0.0212951,0,0,0
matching,6322,85320,3160,1.00032,3840,0.00277869,0.0209363,0,0,0
matching,6652,89775,3325,1.0003,3564,0.0032002,0.0213548,0,0,0
matching,6982,94230,3490,1.00029,2123,0.00277265,0.0209541,0,0,0
matching,7312,98685,3655,1.00027,4587,0.00252825,0.0207295,0,0,0
matching,7642,103140,3820,1.00026,3780,0.00247756,0.0206875,0,0,0
matching,7972,107595,3985,1.00025,3228,0.00251013,0.0207349,0,0,0
matching,8302,112050,4150,1.00024,6401,0.00221467,0.0204529,0,0,0
matching,8632,116505,4315,1.00023,3158,0.00234077,0.0205839,0,0,0
matching,8962,120960,4480,1.00022,6413,0.00227136,0.0205248,0,0,0
matching,9292,125415,4645,1.00022,5559,0.00211452,0.0203762,0,0,0
matching,9622,129870,4810,1.00021,7332,0.00212849,0.0204009,0,0,0
matching,9952,134325,4975,1.0002,6769,0.00218006,0.0204591,0,0,0
matching,10282,138780,5140,1.00019,5892,0.00189984,0.0201904,0,0,0
matching,10612,143235,5305,1.00019,8843,0.00178874,0.0200873,0,0,0
matching,10942,147690,5470,1.00018,10212,0.00214125,0.0204351,0,0,0
matching,11272,152145,5635,1.00018,7886,0.0015792,0.0198944,0,0,0
matching,11602,156600,5800,1.00017,9184,0.00170935,0.0200235,0,0,0
matching,11932,161055,5965,1.00017,10357,0.00193485,0.0202499,0,0,0
matching,12262,165510,6130,1.00016,13025,0.00171487,0.0200399,0,0,0
matching,12592,169965,6295,1.00016,10598,0.00160742,0.0199397,0,0,0
random_level,2502,7450,33275,0.99435,79141,0.488489,0.519657,0,0,0
random_level,2706,8060,39048,0.994494,104072,0.491192,0.521356,0,0,0
random_level,2918,8694,38616,0.996582,119547,0.488654,0.518864,0,0,0
random_level,3138,9352,41513,0.995929,135152,0.491944,0.521687,0,0,0
random_level,3366,10034,42955,0.995693,149047,0.492208,0.523659,0,0,0
random_level,3602,10740,39649,0.997402,137546,0.476047,0.506416,0,0,0
random_level,3846,11470,44675,0.998836,207670,0.482875,0.514271,0,0,0
random_level,4098,12224,44751,0.998548,209640,0.48306,0.514822,0,0,0
random_level,4626,13804,50060,0.997463,262185,0.492167,0.522418,0,0,0
random_level,4358,13002,49293,0.99643,287789,0.493434,0.523641,0,0,0
random_level,4902,14630,50190,0.997071,329811,0.494629,0.524786,0,0,0
random_level,5186,15480,51478,0.997514,372298,0.484863,0.515104,0,0,0
random_level,5478,16354,51717,0.998008,430063,0.479874,0.511107,0,0,0
random_level,5778,17252,53141,0.998175,428111,0.476029,0.505882,0,0,0
random_level,6086,18174,56417,0.999025,461254,0.477559,0.507726,0,0,0
random_level,6402,19120,58864,0.999151,418992,0.486108,0.515343,0,0,0
random_level,6726,20090,59234,0.99892,580015,0.49257,0.523385,0,0,0
random_level,7058,21084,58393,0.999144,663745,0.469135,0.499902,0,0,0
random_level,7398,22102,62210,0.999132,514464,0.482363,0.511355,0,0,0
random_level,7746,23144,59341,0.997978,496137,0.469039,0.497617,0,0,0
random_level,8102,24210,65941,0.999029,606293,0.481074,0.509455,0,0,0
random_level,8466,25300,67158,0.999241,693323,0.489246,0.519106,0,0,0
random_level,8838,26414,67737,0.998583,782194,0.474101,0.503324,0,0,0
random_level,9218,27552,69343,0.999524,810580,0.48363,0.514378,0,0,0
square_mesh,2502,61050,150000,0.9862,2.99544e+06,0.498889,0.502175,0,0,0
square_mesh,2706,66104,156000,0.985801,2.95129e+06,0.494752,0.538231,0,0,0
square_mesh,2918,71358,162000,0.991352,3.75542e+06,0.489319,0.492377,0,0,0
square_mesh,3138,76812,168000,0.991149,3.78214e+06,0.485477,0.48843,0,0,0
square_mesh,3366,82466,174000,0.991339,4.49851e+06,0.48057,0.483414,0,0,0
square_mesh,3602,88320,180000,0.994522,3.87897e+06,0.477597,0.480351,0,0,0
basic_line,2502,47012,612620,0.865066,7.67753e+06,0.443973,0.456907,0,0,0
basic_line,2706,51379,634382,0.872474,8.52095e+06,0.41664,0.431209,0,0,0
basic_line,2918,56013,664586,0.880563,9.01283e+06,0.400543,0.414241,0,0,0
